#A, A_err, B, B_err, C, C_err, D, D_err
0.24 , 0.01 , -0.38 , 0.05 , 0.57 , 0.01 , 0.68 , 0.06  
-0.06 , 0.0 , -0.7 , 0.09 , 0.19 , 0.0 , 1.24 , 0.14  
-0.18 , 0.02 , -0.29 , 0.06 , 0.25 , 0.02 , 0.5 , 0.08  
76.45 , 0.67 , -0.59 , 0.02 , 72.46 , 0.51 , 1.37 , 0.03  
1.11 , 0.13 , -0.38 , 0.17 , 6.84 , 0.1 , 0.64 , 0.16  
12.25 , 0.33 , -0.52 , 0.05 , 20.64 , 0.26 , 1.13 , 0.07  
-1.48 , 0.02 , 1.24 , 0.05 , 5.33 , 0.02, , 
0.49 , 0.01 , 2.15 , 0.05 , 0.8 , 0.003, , 
0.23 , 0.01 , -0.38 , 0.04 , 0.59 , 0.01 , 0.68 , 0.05  
-0.06 , 0.0 , -0.66 , 0.09 , 0.2 , 0.0 , 1.2 , 0.13  
-0.16 , 0.01 , -0.31 , 0.06 , 0.23 , 0.01 , 0.51 , 0.07  
75.44 , 0.77 , -0.6 , 0.02 , 73.81 , 0.54 , 1.37 , 0.03  
1.07 , 0.12 , -0.53 , 0.2 , 6.99 , 0.09 , 0.65 , 0.17  
12.01 , 0.31 , -0.55 , 0.05 , 20.99 , 0.22 , 1.14 , 0.07  
-1.43 , 0.02 , 1.21 , 0.05 , 5.332 , 0.021 , , 
0.44 , 0.01 , 2.22 , 0.08 , 0.801 , 0.004  , ,
0.16 , 0.1 , 0.18 , 0.1 , 0.35 , 0.1 , 0.2 , 0.2  
0.06 , 0.01 , -5.55 , 5.2 , 0.12 , 0.0 , 11.34 , 10.41  
-0.26 , 0.14 , 0.81 , 0.58 , 0.58 , 0.14 , 0.27 , 0.38  
-1.19 , 28.71 , 1.39 , 13.45 , 44.35 , 28.84 , 0.0 , 22.46  
1.58 , 13.15 , -0.97 , 8.74 , 1.54 , 13.06 , 0.0 , 1.43  
7.52 , 1.29 , -4.69 , 4.6 , 14.05 , 1.16 , 4.28 , 3.1  
-3.05 , 0.31 , 0.56 , 0.12 , 5.786 , 0.355  , ,
0.05 , 0.18 , 3.21 , 20.14 , 1.02 , 0.048  , ,
0.23 , 0.02 , -0.38 , 0.09 , 0.6 , 0.02 , 0.66 , 0.1  
-0.04 , 0.01 , -0.57 , 0.36 , 0.18 , 0.01 , 1.05 , 0.46  
-0.16 , 0.02 , -0.29 , 0.09 , 0.25 , 0.02 , 0.44 , 0.12  
50.1 , 2.52 , -0.7 , 0.14 , 65.98 , 1.58 , 1.7 , 0.2  
1.97 , 0.11 , -0.85 , 0.15 , 6.79 , 0.08 , 1.63 , 0.22  
13.12 , 0.82 , -0.96 , 0.19 , 20.02 , 0.4 , 2.13 , 0.28  
-1.29 , 0.02 , 1.14 , 0.05 , 5.22 , 0.02  , ,
0.6 , 0.05 , 3.46 , 0.36 , 0.82 , 0.01 , ,
0.21 , 0.01 , -0.3 , 0.09 , 0.63 , 0.01 , 0.5 , 0.06  
-0.06 , 0.01 , -0.17 , 0.16 , 0.2 , 0.0 , 0.54 , 0.11  
-0.1 , 0.01 , -0.28 , 0.12 , 0.19 , 0.01 , 0.29 , 0.08  
109.63 , 8.32 , -0.72 , 0.17 , 82.65 , 1.92 , 1.57 , 0.17  
4.92 , 0.28 , -1.16 , 0.16 , 7.21 , 0.09 , 1.8 , 0.17  
40.45 , 3.57 , -1.27 , 0.22 , 22.28 , 0.45 , 2.14 , 0.21  
-1.36 , 0.04 , 1.12 , 0.11 , 5.42 , 0.05  , ,
0.45 , 0.02 , 2.72 , 0.23 , 0.77 , 0.01  , ,
0.26 , 0.01 , -0.4 , 0.08 , 0.56 , 0.01 , 0.62 , 0.06  
-0.08 , 0.01 , -0.28 , 0.15 , 0.22 , 0.0 , 0.62 , 0.13  
-0.13 , 0.01 , -0.3 , 0.11 , 0.21 , 0.01 , 0.35 , 0.09  
178.25 , 17.63 , -0.83 , 0.19 , 98.8 , 3.3 , 1.59 , 0.19  
6.17 , 0.97 , -1.66 , 0.43 , 7.37 , 0.2 , 2.12 , 0.44  
59.5 , 8.35 , -1.69 , 0.31 , 24.78 , 0.69 , 2.5 , 0.31  
-1.43 , 0.04 , 1.53 , 0.12 , 5.37 , 0.04  , ,
0.48 , 0.03 , 1.65 , 0.3 , 0.75 , 0.03  , ,
0.31 , 0.02 , -0.43 , 0.08 , 0.41 , 0.01 , 0.84 , 0.1  
-0.04 , 0.01 , -1.43 , 0.82 , 0.22 , 0.01 , 3.17 , 1.59  
-0.29 , 0.02 , -0.28 , 0.06 , 0.38 , 0.02 , 0.48 , 0.08  
167.68 , 11.47 , -0.74 , 0.17 , 50.79 , 3.35 , 1.9 , 0.23  
2.05 , 0.23 , -0.38 , 0.22 , 6.71 , 0.1 , 1.11 , 0.25  
26.2 , 2.91 , -1.24 , 0.3 , 19.52 , 0.78 , 2.39 , 0.42  
-2.64 , 0.09 , 1.06 , 0.08 , 5.79 , 0.1  , ,
0.87 , 1.12 , 0.19 , 0.29 , 0.23 , 1.13 , ,
-0.01 , 0.06 , 1.43 , 2.82 , 0.62 , 0.05 , 0.0 , 1.84  
0.03 , 0.1 , 0.64 , 0.39 , 0.14 , 0.1 , 0.47 , 4.33  
-1.15 , 16.54 , -0.02 , 0.32 , 1.35 , 16.54 , 0.04 , 0.65  
104.54 , 16.89 , -1.07 , 0.56 , 34.4 , 4.12 , 2.29 , 0.71  
0.75 , 0.36 , -0.4 , 0.74 , 6.09 , 0.31 , 1.63 , 1.54  
14.03 , 2.79 , -1.27 , 0.64 , 15.15 , 1.8 , 2.41 , 0.97  
-2.64 , 0.09 , 1.06 , 0.08 , 5.79 , 0.1  , ,
0.87 , 1.12 , 0.19 , 0.29 , 0.23 , 1.13  , ,
0.19 , 0.02 , -0.44 , 0.17 , 0.64 , 0.02 , 0.6 , 0.16  
-0.05 , 0.02 , -4.64 , 5.1 , 0.15 , 0.01 , 3.61 , 3.8  
-0.26 , 0.07 , -0.26 , 0.16 , 0.35 , 0.07 , 0.39 , 0.2  
65.95 , 2.62 , -0.33 , 0.09 , 27.86 , 1.06 , 1.36 , 0.11  
7.25 , 1.47 , -1.22 , 0.58 , 2.57 , 0.47 , 1.99 , 0.69  
17.96 , 1.93 , -0.35 , 0.26 , 9.77 , 0.85 , 1.47 , 0.35  
-1.79 , 0.03 , 0.95 , 0.03 , 5.35 , 0.03  , ,
0.32 , 0.01 , 2.55 , 0.19 , 0.75 , 0.01  , ,
0.23 , 0.01 , -0.39 , 0.06 , 0.6 , 0.01 , 0.57 , 0.05  
-0.01 , 0.0 , -4.95 , 3.76 , 0.14 , 0.0 , 5.79 , 4.57  
-0.19 , 0.03 , -0.25 , 0.09 , 0.29 , 0.03 , 0.37 , 0.1  
73.39 , 1.04 , -0.56 , 0.04 , 44.3 , 0.44 , 1.61 , 0.05  
2.34 , 0.18 , -0.9 , 0.22 , 6.54 , 0.11 , 1.88 , 0.33  
18.51 , 0.51 , -1.07 , 0.09 , 16.42 , 0.2 , 2.41 , 0.13  
-1.68 , 0.03 , 1.03 , 0.04 , 5.33 , 0.03  , ,
0.35 , 0.01 , 2.47 , 0.15 , 0.76 , 0.01  , ,
0.2 , 0.01 , -0.36 , 0.07 , 0.6 , 0.01 , 0.6 , 0.07  
-0.04 , 0.01 , -0.56 , 0.2 , 0.19 , 0.0 , 1.01 , 0.27  
-0.14 , 0.02 , -0.26 , 0.1 , 0.23 , 0.02 , 0.38 , 0.1  
100.65 , 2.96 , -0.74 , 0.07 , 77.61 , 1.44 , 1.5 , 0.09  
2.47 , 0.15 , -0.93 , 0.16 , 7.02 , 0.09 , 1.73 , 0.23  
24.27 , 1.14 , -1.04 , 0.13 , 21.46 , 0.5 , 1.92 , 0.18  
-1.42 , 0.02 , 1.33 , 0.05 , 5.33 , 0.02  , ,
0.51 , 0.0 , 2.25 , 0.05 , 0.8 , 0.0  , ,
0.18 , 0.01 , -0.35 , 0.08 , 0.59 , 0.01 , 0.66 , 0.08  
-0.06 , 0.01 , -0.38 , 0.13 , 0.21 , 0.0 , 0.83 , 0.18  
